1 2    2 -2    4 -4
2 2    21 -4    21 -2
3 2    2 21    4 21
4 2    1 -1    3 -3
5 2    21 -3    21 -1
6 2    1 21    3 21
7 2    -4 4    -2 2
8 2    21 2    21 4
9 2    -4 21    -2 21
10 2    -3 3    -1 1
11 2    21 1    21 3
12 2    -3 21    -1 21
13 2    -3 4    -1 2
14 2    1 2    3 4
15 2    2 2    4 4
16 2    -3 2    -1 4
17 2    1 4    3 2
18 2    -4 2    -2 4
19 2    2 4    4 2
20 1    21 21
21 2    1 1    3 3
22 2    -4 3    -2 1
23 2    2 1    4 3
24 2    -3 1    -1 3
25 2    1 3    3 1
26 2    -4 1    -2 3
27 2    2 3    4 1
28 2    -3 -4    -1 -2
29 2    1 -2    3 -4
30 2    -4 -4    -2 -2
31 2    -3 -2    -1 -4
32 2    1 -4    3 -2
33 2    -4 -2    -2 -4
34 2    2 -4    4 -2
35 2    -3 -3    -1 -1
36 2    -4 -3    -2 -1
37 2    2 -1    4 -3
38 2    -3 -1    -1 -3
39 2    1 -3    3 -1
40 2    -4 -1    -2 -3
41 2    2 -3    4 -1
